name,description,price,category,imageUrl,calories,protein,carbs,fat,allergens,ingredients,isVegetarian,isVegan,isGlutenFree,isFeatured,preparationTime
Butter Chicken,"Tender chicken cooked in a rich, creamy tomato sauce with aromatic Indian spices.",14.99,Indian,https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,590,32,18,42,Dairy,"Chicken,Tomatoes,Butter,Cream,Garam masala,Fenugreek,Ginger,Garlic",False,False,True,True,25
Palak Paneer,Fresh spinach puree cooked with cubes of paneer cheese and aromatic spices.,12.99,Indian,https://images.unsplash.com/photo-1589647363585-f4a7d3877b10?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,450,22,18,32,Dairy,"Spinach,Paneer cheese,Onions,Ginger,Garlic,Garam masala,Cumin,Cream",True,False,True,False,20
Vegetable Biryani,"Fragrant basmati rice cooked with mixed vegetables, saffron, and aromatic spices.",11.99,Indian,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,480,10,80,14,None,"Basmati rice,Mixed vegetables,Saffron,Cardamom,Cinnamon,Cumin,Garam masala",True,True,True,True,30
Chicken Tikka,"Marinated chicken pieces grilled in a tandoor, served with mint chutney.",10.99,Indian,https://images.unsplash.com/photo-1599487488170-d11ec9c172f0?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,320,28,5,18,Dairy,"Chicken,Yogurt,Ginger,Garlic,Red chili powder,Garam masala,Lemon juice",False,False,True,True,20
Garlic Naan,"Soft flatbread brushed with garlic butter, baked in a tandoor.",3.99,Indian,https://images.unsplash.com/photo-1565557623262-b51c2513a641?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,250,7,40,8,"Dairy,Gluten","Flour,Yeast,Yogurt,Garlic,Butter",True,False,False,False,10
Masala Dosa,"Crispy rice and lentil crepe filled with spiced potato masala, served with sambar and coconut chutney.",9.99,Indian,https://images.unsplash.com/photo-1589302168068-964664d93dc0?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,380,10,65,8,None,"Rice,Lentils,Potatoes,Onions,Mustard seeds,Curry leaves,Turmeric",True,True,True,True,20
Chana Masala,Chickpeas cooked in a spicy tomato sauce with garam masala and fresh herbs.,10.99,Indian,https://images.unsplash.com/photo-1603894584595-5265ec7402bc?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,320,15,48,8,None,"Chickpeas,Tomatoes,Onions,Ginger,Garlic,Garam masala,Cumin,Coriander",True,True,True,False,20
Rogan Josh,"Tender lamb cooked in a rich gravy of onions, yogurt, and aromatic spices.",15.99,Indian,https://images.unsplash.com/photo-1606923829579-0cb981a83e2e?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=80,520,38,10,35,Dairy,"Lamb,Onions,Yogurt,Ginger,Garlic,Kashmiri chili,Garam masala",False,False,True,False,30
Dal Makhani,"Creamy black lentils slow-cooked with butter, cream, and spices.",10.99,Indian,https://www.vegrecipesofindia.com/wp-content/uploads/2021/01/dal-makhani-1.jpg,380,15,45,15,Dairy,"Black lentils,Red kidney beans,Onions,Tomatoes,Butter,Cream,Garam masala",True,False,True,False,25
Malai Kofta,"Soft paneer and potato dumplings in a rich, creamy tomato sauce.",12.99,Indian,https://www.cookwithmanali.com/wp-content/uploads/2017/10/Malai-Kofta-Recipe.jpg,450,14,35,28,Dairy,"Paneer cheese,Potatoes,Cashews,Cream,Tomatoes,Onions,Garam masala",True,False,False,False,25
