name,description,price,category,imageUrl,ingredients,isVegetarian,isVegan,isGlutenFree,calories,protein,carbs,fat,allergens,isFeatured,preparationTime
Classic Cheeseburger #1,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.92,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,12
Classic Cheeseburger #2,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",10.96,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,13
Classic Cheeseburger #3,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.22,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,15
Chocolate Lava Cake #4,"Warm chocolate cake with a molten center, served with vanilla ice cream.",8.57,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,16
Classic Cheeseburger #5,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",8.96,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,12
Chocolate Lava Cake #6,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.29,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,13
Garden Veggie Wrap #7,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",6.69,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,10
Garden Veggie Wrap #8,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",7.49,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,6
Chocolate Lava Cake #9,"Warm chocolate cake with a molten center, served with vanilla ice cream.",7.0600000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,13
Garden Veggie Wrap #10,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.55,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,9
Classic Cheeseburger #11,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",9.280000000000001,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,14
Garden Veggie Wrap #12,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",8.790000000000001,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,7
Chocolate Lava Cake #13,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.15,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,16
Chocolate Lava Cake #14,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.07,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,16
Chocolate Lava Cake #15,"Warm chocolate cake with a molten center, served with vanilla ice cream.",6.76,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",False,13
Chocolate Lava Cake #16,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.5200000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,18
Chocolate Lava Cake #17,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.6000000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,14
Chocolate Lava Cake #18,"Warm chocolate cake with a molten center, served with vanilla ice cream.",5.3100000000000005,Desserts,https://images.unsplash.com/photo-1563805042-7684c019e1cb,"Chocolate, Butter, Sugar, Eggs, Flour, Vanilla ice cream",True,False,False,450,29,40,50,"Dairy, Eggs, Gluten",True,14
Classic Cheeseburger #19,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",11.36,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",False,11
Garden Veggie Wrap #20,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.69,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,False,11
Classic Cheeseburger #21,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",10.8,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,15
Garden Veggie Wrap #22,"Fresh mixed greens, cucumber, bell peppers, tomatoes, and avocado with hummus in a spinach wrap.",9.47,Main Courses,https://images.unsplash.com/photo-1540420773420-3366772f4999,"Spinach wrap, Mixed greens, Cucumber, Bell peppers, Tomatoes, Avocado, Hummus",True,True,False,423,4,61,-15,Gluten,True,10
Classic Cheeseburger #23,"Juicy beef patty with melted cheddar cheese, lettuce, tomato, and our special sauce on a toasted brioche bun.",9.46,Main Courses,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,"Beef patty, Cheddar cheese, Lettuce, Tomato, Special sauce, Brioche bun",False,False,False,749,27,39,47,"Dairy, Gluten",True,11
